Name|Address|Category|Lng|Lat
昌威發興業有限公司高雄廠|高雄市燕巢區安招里安林四街２６號|電子零組件製造業,機械設備製造業|22.7867164|120.3308669
昌層企業社|高雄市岡山區本洲里本洲三街80號|機械設備製造業|22.8121829|120.260536
昌懋工程股份有限公司二廠|高雄市小港區山明里永春街６號|金屬製品製造業,機械設備製造業,其他運輸工具及其零件製造業|22.5445153|120.3786232
昌懋工程股份有限公司林園廠|高雄市林園區清水岩路３０５巷２７號|金屬製品製造業|22.5176184|120.3946587
昌懋工程股份有限公司|高雄市小港區山明里永春街１０之１號|金屬製品製造業,機械設備製造業,其他運輸工具及其零件製造業|22.544976|120.3785875
昌旺工程有限公司高雄廠|高雄市鳥松區仁美里水管路７之１號|機械設備製造業,其他運輸工具及其零件製造業|22.6469556|120.3872983
昌昇起重工程行|高雄市岡山區嘉興里嘉華路72之1號|橡膠製品製造業|22.8226367|120.307862
昌明螺絲有限公司|高雄市大寮區大寮里華西路49號|金屬製品製造業|22.5903912|120.4234149
昌明食品有限公司|高雄市前鎮區鎮北里擴建路１之２７號４樓、１之２８號４樓、１之２９號４樓|食品製造業|22.589812|120.302856
■昌機械有限公司|高雄市燕巢區角宿里四林路１２１巷６號|機械設備製造業|22.7763796|120.3470926
昌瑜機電股份有限公司|高雄市大寮區江山里鳳屏二路７７號|金屬製品製造業,機械設備製造業|22.6405499|120.4138045
昌璟企業有限公司橋頭廠|高雄市橋頭區西林里西林路１４０號|化學製品製造業|22.7647378|120.288913
昌益企業社|高雄市大寮區翁園里翁園路130之58號|金屬製品製造業,電子零組件製造業,電力設備製造業|22.6208743|120.4071198
昌興塑膠廠股份有公司高雄廠|高雄市大寮區中興里華興巷１號|塑膠製品製造業|22.614808|120.3882629
昌論營造有限公司|高雄市燕巢區新生路33巷6號|金屬製品製造業|22.7933116|120.3546077
昌遠機械股份有限公司|高雄市大寮區莒光一街１６號|機械設備製造業|22.5807758|120.4242669
昌龍大理石有限公司|高雄市湖內區公館里中山路二段２７號|非金屬礦物製品製造業|22.9019894|120.2348008
明亮科技潔淨洗衣中心|高雄市大社區保安里大社路365之1號|成衣及服飾品製造業|22.7386322|120.3646506
明佑昇有限公司|高雄市岡山區本洲里本工路3號|金屬製品製造業|22.8131295|120.2691396
明侖精機股份有限公司|高雄市仁武區後安里永宏巷１２弄２５號|金屬製品製造業,機械設備製造業|22.7139178|120.3414211
明冠企業社|高雄市岡山區潭底路３２５巷１６之１號|金屬製品製造業|22.8272361|120.3098797
明冠造機企業股份有限公司|高雄市楠梓區宏榮里加昌路６３５號|金屬製品製造業,電腦、電子產品及光學製品製造業,機械設備製造業|22.7155629|120.2994865
明勝企業股份有限公司|高雄市大社區保社里旗楠路８８號|紙漿、紙及紙製品製造業,塑膠製品製造業|22.731969|120.330086
明坤企業有限公司|高雄市路竹區文北里國昌路189巷263弄101號|金屬製品製造業|22.86257|120.24786
明大輝有限公司|高雄市前鎮區實業路１７８號|機械設備製造業|22.5750829|120.3198744
明安國際企業股份有限公司大業廠|高雄市小港區大業南路３３號|金屬製品製造業|22.5288247|120.3658354
明安國際企業股份有限公司高加二廠|高雄市前鎮區高雄加工出口區西十街1、3、5、7、1-2、3-2號|其他製造業|22.604916|120.288554
明安國際企業股份有限公司高雄加工出口區分公司|高雄市前鎮區高雄加工出口區南五路2號|汽車及其零件製造業,其他運輸工具及其零件製造業,其他製造業|22.593105|120.295468
明安國際企業股份有限公司|高雄市小港區鳳宮里中林路２６號|金屬製品製造業,其他製造業|22.5371528|120.3657302
明寶企業有限公司|高雄市大寮區新厝里鳳林二路２９３之２０號|食品製造業|22.5765645|120.4090676
明庚通運股份有限公司|高雄市大寮區義和里鳳屏二路３９４巷１９號|非金屬礦物製品製造業|22.6413438|120.4137802
明德食品工業股份有限公司阿蓮二廠|高雄市阿蓮區復安里復安172之1號|食品製造業|22.8475332|120.3227196
明德食品工業股份有限公司阿蓮廠|高雄市阿蓮區復安里復安１７２號|食品製造業|22.85028|120.324031
明懋實業有限公司|高雄市湖內區太爺里中山路二段３４之１０號|食品製造業|22.9104288|120.2259523
明新發企業股份有限公司|高雄市路竹區後鄉里順安路351巷8號|金屬製品製造業|22.8415554|120.2427862
明新食品行|高雄市燕巢區安招里安林路３１號|食品製造業|22.7867099|120.329287
明昇金屬有限公司|高雄市梓官區赤崁里赤崁北路３５０巷２號|金屬製品製造業|22.7453575|120.245903
明晉機械有限公司|高雄市大寮區過溪里濃公路256巷73號|機械設備製造業|22.5726927|120.4161591
明晉螺絲企業社|高雄市岡山區台上里成功路466巷28號|金屬製品製造業|22.8126294|120.3019552
明月潭加油站|高雄市大寮區內坑路158之6號|加油站|22.5889889|120.3842035
明正鐵工廠有限公司|高雄市三民區熱河二街３１１號|基本金屬製造業,機械設備製造業|22.6446948|120.2931805
明泰工業股份有限公司大社廠|高雄市大社區保社里民族路１３之５號|電子零組件製造業,汽車及其零件製造業,其他運輸工具及其零件製造業|22.7485966|120.3539401
明洋船舶機械有限公司|高雄市前鎮區興旺路300號|其他運輸工具及其零件製造業|22.5852498|120.3117313
明洲企業社|高雄市大寮區三隆里三隆路601巷116-1號|金屬製品製造業,汽車及其零件製造業,其他運輸工具及其零件製造業|22.6041793|120.4183614
明湘企業有限公司|高雄市岡山區岡山北路193巷21弄6號|金屬製品製造業|22.807695|120.285297
明煌實業有限公司|高雄市岡山區本洲里本洲路１９７號|其他製造業|22.8066871|120.2674
明玉鐵工廠有限公司|高雄市仁武區竹後里鳳仁路２８７之２６號|基本金屬製造業|22.6806417|120.3562317
明瑞國際科技有限公司|高雄市大寮區潮寮里富民街15號|基本金屬製造業|22.5779879|120.4302375
明璟塑膠實業有限公司仁武廠|高雄市仁武區竹工二巷2-1號|塑膠製品製造業|22.7079527|120.331291
明發誠企業有限公司|高雄市大寮區華東路20號|金屬製品製造業|22.5736837|120.4330713
明益鐵工廠|高雄市鳳山區忠義里中山西路１６６號|機械設備製造業|22.6276681|120.3506418
明瞭螺絲工廠股份有限公司二廠|高雄市岡山區嘉新東路二段９８巷８６號|金屬製品製造業|22.8231597|120.3268688
明瞭螺絲工廠股份有限公司|高雄市岡山區華崗里二十四﹒子中街１２1號|機械設備製造業|22.826492|120.321941
明石金屬股份有限公司三廠|高雄市路竹區北嶺里民有路６３０號|金屬製品製造業,機械設備製造業|22.8216684|120.2742949
明石金屬股份有限公司二廠|高雄市路竹區北嶺里民有路６２８號|金屬製品製造業|22.8204114|120.2807132
明石金屬股份有限公司|高雄市路竹區北嶺里民有路６３５巷５號|金屬製品製造業|22.8215965|120.2718777
明祥魚丸工廠|高雄市大社區觀音里三民路２１７號|食品製造業|22.7252054|120.3486579
明竣企業有限公司|高雄市大寮區永芳里萬丹路２０７之９號|電力設備製造業|22.6129804|120.3964828
明聰興工廠股份有限公司|高雄市岡山區仁壽里前峰路５８之１號|機械設備製造業|22.7948862|120.2887546
明虹企業股份有限公司|高雄市小港區同利路６號|機械設備製造業|22.565507|120.33099
明裕起重工程有限公司|高雄市前鎮區草衙里金福路１８號|木竹製品製造業,金屬製品製造業|22.5681956|120.3237512
明誠路加氣站|高雄市三民區民族一路568號|加氣站|22.6594449|120.3163275
明軒螺絲有限公司一廠|高雄市岡山區嘉華路135之27號|金屬製品製造業|22.8217479|120.3104389
明輝船業有限公司|高雄市梓官區梓平里和平路１３之１號|汽車及其零件製造業,其他運輸工具及其零件製造業|22.7530293|120.2616626
明辰實業股份有限公司|高雄市林園區西溪路１９３巷５之２０號|金屬製品製造業|22.4905278|120.393373
明鈦實業有限公司仁武廠|高雄市仁武區烏林里仁林路２３６之１號１樓|金屬製品製造業,機械設備製造業,汽車及其零件製造業,其他運輸工具及其零件製造業|22.6965183|120.3745912
明錠企業有限公司|高雄市前鎮區漁港東二路５８巷７號|機械設備製造業|22.572979|120.317791
明鴻工業股份有限公司二廠|高雄市仁武區仁武里工業一路１８號１樓|其他運輸工具及其零件製造業|22.6991392|120.341493
明鴻工業股份有限公司|高雄市仁武區仁武里工業二路２號|其他運輸工具及其零件製造業|22.7000479|120.3431645
明鴻木器股份有限公司|高雄市仁武區竹後里水管路151號|木竹製品製造業,家具製造業|22.7063143|120.3353733
易利鋼鐵企業股份有限公司|高雄市大寮區大有三街１３號|基本金屬製造業,金屬製品製造業|22.5862195|120.4233523
易吉益豐源股份有限公司|高雄市楠梓區加工出口區西一街8號|電力設備製造業,其他運輸工具及其零件製造業|22.6007613|120.2924226
易增工程有限公司|高雄市小港區小港里台糖路１１號|金屬製品製造業|22.56459|120.343614
易宏熱鍍鋅工業股份有限公司大發一廠|高雄市大寮區大有三街10號|金屬製品製造業|22.5862253|120.4270461
易宏熱鍍鋅工業股份有限公司大發三廠|高雄市大寮區大寮里大有三街16號|金屬製品製造業|22.5862239|120.4261561
易宏熱鍍鋅工業股份有限公司大發二廠|高雄市大寮區大寮里大有三街９號|石油及煤製品製造業|22.5862229|120.4255147
易宏熱鍍鋅工業股份有限公司大發廠|高雄市大寮區大寮里華中路３５號|基本金屬製造業|22.5862279|120.4287582
易宏熱鍍鋅工業股份有限公司|高雄市大寮區大寮里大有三街１５號|基本金屬製造業,金屬製品製造業|22.5858334|120.4261418
易尚有限公司|高雄市仁武區後安里永宏巷１２弄４２之２號|機械設備製造業,汽車及其零件製造業,其他運輸工具及其零件製造業|22.7136279|120.3414694
易泉企業有限公司|高雄市大寮區潮寮里田單五街２０號|基本金屬製造業|22.5731091|120.4289253
易洲股份有限公司|高雄市橋頭區芋寮里芋寮路301號|食品製造業|22.7613954|120.2820281
易華電子股份有限公司|高雄市楠梓區楠梓加工出口區新開發路6、8、10號1、2、3、4樓、12號1、2樓|電子零組件製造業|22.723274|120.309915
易蜂企業股份有限公司|高雄市燕巢區角宿里四林路１４０號|石油及煤製品製造業|22.7770454|120.3461103
易蜂工廠|高雄市燕巢區角宿里四林路１４０之３號|非金屬礦物製品製造業|22.7726467|120.3462549
